RUN_ID,d_wheel,A_front,HM_VA,AWD,iAG,m_curb,Wheelbase,Gear_Ratio,No_Gears,shiftDelay,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW
1,0.66,2.67468,0,0,3.09,1504,2.82,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.35,1000,6500,66,330,147
2,0.66,2.67468,0,0,3.09,1670,2.82,"[4.05, 2.4, 1.58, 1.19, 1.0, 0.87]",6,0.1,1000,6500,120,600,375
3,0.716,3.179913,1,1,3.09,1735,2.818,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.35,1000,6500,66,330,147
4,0.716,3.179913,1,1,3.73,1735,2.818,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,6500,80,400,206
5,0.716,3.179913,1,1,3.09,1905,2.818,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,6500,120,600,375
6,0.615,2.488031,1,0,3.71,1285,2.546,"[3.91, 2.24, 1.52, 1.16, 0.97]",5,0.6,1000,6500,28,140,77
7,0.615,2.488031,1,0,4.07,1275,2.546,"[3.91, 2.24, 1.52, 1.16, 0.92]",5,0.6,1000,6500,29.2,146,88
8,0.657,2.599416,1,0,4.18,1505,2.7,"[3.82, 2.16, 1.48, 1.07, 0.88, 0.74]",6,0.6,1000,6500,64,320,147
9,0.657,2.654256,1,0,4.18,1555,2.7,"[3.82, 2.16, 1.48, 1.07, 0.88, 0.74]",6,0.6,1000,6500,64,320,147
10,0.631,2.205112,0,0,4.12,1074,2.38,"[3.9, 2.27, 1.45, 0.98, 0.75, 0.62]",6,0.2,1000,6500,70,350,177
11,0.667,2.474736,0,0,3.09,1750,2.645,"[3.21, 2.05, 1.44, 1.11, 0.9, 0.76]",6,0.6,1000,9000,94,470,331
12,0.657,2.45403,1,0,3.09,1705,2.528,"[3.92, 2.04, 1.36, 1.05, 0.85, 0.74]",6,0.6,1000,6500,64,320,147
13,0.657,2.45403,1,0,4.18,1545,2.528,"[3.82, 2.35, 1.57, 1.15, 0.94, 0.86]",6,0.6,1000,6500,46,230,136
14,0.657,2.45403,1,1,3.9,1705,2.528,"[3.92, 2.04, 1.36, 1.05, 0.85, 0.74]",6,0.35,1000,6500,64.4,322,191
15,0.652,2.63407,1,0,3.83,1355,2.634,"[3.9, 2.12, 1.48, 1.12, 0.9, 0.77]",6,0.6,1000,6500,41.2,206,77
16,0.652,2.63407,1,0,3.83,1365,2.634,"[3.9, 2.12, 1.48, 1.12, 0.9, 0.77]",6,0.6,1000,6500,50,250,110
17,0.652,2.63407,1,0,3.83,1365,2.634,"[3.9, 2.12, 1.48, 1.12, 0.9, 0.77]",6,0.6,1000,6500,46,230,125
18,0.652,2.63407,1,0,3.83,1395,2.634,"[3.9, 2.12, 1.48, 1.12, 0.9, 0.77]",6,0.35,1000,6500,68,340,173
19,0.643,2.408258,1,0,3.73,1395,2.596,"[3.91, 2.24, 1.52, 1.16, 0.92]",5,0.6,1000,6500,41.2,206,121
20,0.615,2.48712,1,0,4.18,1205,2.511,"[3.82, 2.16, 1.48, 1.07, 0.88, 0.74]",6,0.6,1000,6500,29,145,62
21,0.615,2.48712,1,0,4.18,1205,2.511,"[3.82, 2.16, 1.48, 1.07, 0.88, 0.74]",6,0.8,1000,6500,29,145,77
22,0.615,2.48712,1,0,4.18,1165,2.511,"[3.82, 2.16, 1.48, 1.07, 0.88, 0.74]",6,0.6,1000,6500,26,130,77
23,0.657,2.41194,1,0,4.18,1705,2.528,"[3.82, 2.16, 1.48, 1.07, 0.88, 0.74]",6,0.6,1000,6500,64,320,147
24,0.657,2.41194,1,0,3.09,1765,2.528,"[3.92, 2.04, 1.36, 1.05, 0.85, 0.74]",6,0.1,1000,6500,64.4,322,191
25,0.657,2.41194,1,1,3.9,1765,2.528,"[3.92, 2.04, 1.36, 1.05, 0.85, 0.74]",6,0.6,1000,6500,64.4,322,191
